,location,total_sqft,bath,price,bhk
0,Adyar,1548,3,261.0,3
1,Adyar,1652,3,278.0,3
2,Adyar,1627,3,274.0,3
3,Adyar,1381,3,210.0,3
6,Adyar,1755,3,230.0,3
7,Adyar,2380,3,321.0,3
8,Alwarpet,2348,3,517.0,3
9,Alwarpet,2476,3,545.0,3
10,Alwarpet,2781,4,612.0,4
11,Alwarpet,2713,4,597.0,4
12,Alwarpet,2291,3,481.0,3
13,Alwarpet,1989,3,417.0,3
14,Alwarpet,4302,4,903.0,4
15,Alwarpet,4302,4,903.0,4
16,Alwarpet,2315,3,416.0,3
17,Alwarpet,1850,3,323.0,3
18,Ambattur,1028,2,49.0,2
19,Ambattur,1195,3,67.0,3
20,Ambattur,601,1,33.0,1
21,Ambattur,825,2,38.0,2
22,Ambattur,1440,3,79.0,3
23,Ambattur,834,2,40.44,2
24,Ambattur,1220,2,59.17,2
25,Ambattur,1220,2,59.17,2
26,Ambattur,770,2,37.34,2
27,Ambattur,770,2,37.35,2
28,Ambattur,834,2,40.44,2
29,Ambattur,870,2,42.19,2
30,Ambattur,770,2,37.34,2
31,Ambattur,848,2,41.12,2
32,Ambattur,770,2,37.34,2
33,Ambattur,1527,3,80.0,3
34,Ambattur,1012,2,53.0,2
35,Ambattur,870,2,42.19,2
36,Ambattur,770,2,37.34,2
37,Ambattur,870,2,42.19,2
38,Ambattur,770,2,37.34,2
39,Ambattur,870,2,42.19,2
40,Ambattur,770,2,37.34,2
41,Ambattur,834,2,40.44,2
42,Ambattur,848,2,41.12,2
43,Ambattur,870,2,42.19,2
44,Ambattur,770,2,37.34,2
45,Ambattur,834,2,40.44,2
46,Anna Nagar,1500,3,240.0,3
47,Anna Nagar,1450,3,224.0,3
48,Anna Nagar,1500,3,240.0,3
49,Anna Nagar,1025,2,158.0,2
50,Anna Nagar,1565,3,242.0,3
51,Anna Nagar,1500,3,240.0,3
52,Anna Nagar,1500,3,240.0,3
53,Anna Nagar,1500,3,240.0,3
54,Anna Nagar,1235,3,191.0,3
55,Anna Nagar,1250,3,221.0,3
56,Anna Nagar,1540,3,266.0,3
57,Anna Nagar,1500,3,264.0,3
58,Anna Nagar,1500,3,220.0,3
59,Anna Nagar,1590,3,230.0,3
60,Anna Nagar,2130,3,320.0,3
61,Anna Nagar,1283,3,205.0,3
62,Ayanambakkam,1113,2,58.43,2
63,Ayanambakkam,1047,2,54.96,2
64,Ayanambakkam,1113,2,58.43,2
65,Ayanambakkam,1044,2,54.81,2
66,Ayanambakkam,1047,2,54.96,2
67,Ayanambakkam,1113,2,58.43,2
68,Ayanambakkam,1044,2,54.81,2
69,Ayanambakkam,1047,2,54.96,2
70,Ayanambakkam,1044,2,54.81,2
71,Ayanambakkam,967,2,50.76,2
72,Ayanambakkam,967,2,50.76,2
73,Ayanambakkam,1122,2,58.9,2
74,Ayanambakkam,1122,2,58.9,2
75,Ayanambakkam,1086,2,57.01,2
76,Ayanambakkam,1086,2,57.01,2
77,Chromepet,1045,2,50.76,2
78,Chromepet,866,2,33.77,2
79,Chromepet,770,2,37.4,2
80,Chromepet,638,2,30.99,2
81,Chromepet,1245,3,59.22,3
82,Chromepet,895,2,43.47,2
83,Chromepet,1294,3,61.55,3
84,Chromepet,1226,3,58.32,3
85,Chromepet,1025,2,49.79,2
86,Chromepet,964,2,46.83,2
87,Chromepet,1237,3,58.84,3
88,Chromepet,1470,3,69.92,3
89,Chromepet,919,2,44.64,2
90,Chromepet,1343,3,63.88,3
91,Chromepet,1277,3,60.74,3
